,Concurso,Numeros,Ganhadores
516,1591,"[1, 3, 5, 7, 8, 10, 11, 12, 17, 19, 20, 21, 22, 23, 24]",1
517,1590,"[1, 3, 5, 7, 8, 10, 14, 16, 17, 18, 20, 21, 22, 23, 25]",1
518,1589,"[1, 2, 3, 4, 6, 12, 13, 14, 15, 17, 18, 22, 23, 24, 25]",2
519,1588,"[1, 3, 4, 5, 7, 9, 10, 11, 14, 15, 17, 20, 21, 22, 23]",4
520,1587,"[2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 19, 20, 21, 22, 25]",5
521,1586,"[1, 3, 4, 10, 11, 12, 13, 16, 18, 19, 20, 22, 23, 24, 25]",1
522,1585,"[1, 2, 4, 5, 6, 7, 9, 11, 17, 18, 19, 21, 23, 24, 25]",1
523,1584,"[1, 2, 3, 5, 6, 11, 12, 14, 15, 16, 17, 19, 20, 24, 25]",0
524,1583,"[2, 3, 4, 6, 7, 9, 10, 14, 15, 16, 17, 19, 20, 23, 25]",2
525,1582,"[1, 2, 5, 7, 8, 10, 11, 14, 16, 17, 18, 19, 23, 24, 25]",4
526,1581,"[3, 4, 5, 6, 7, 8, 11, 12, 13, 16, 20, 21, 23, 24, 25]",2
527,1580,"[3, 4, 7, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25]",4
528,1579,"[1, 2, 4, 6, 7, 10, 12, 13, 14, 15, 16, 18, 21, 22, 23]",0
529,1578,"[4, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 22, 24]",2
530,1577,"[3, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21, 24]",2
531,1576,"[1, 2, 5, 7, 8, 9, 11, 12, 14, 15, 16, 18, 20, 21, 25]",6
532,1575,"[1, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 22, 23, 25]",2
533,1574,"[1, 2, 3, 5, 6, 7, 10, 11, 12, 14, 15, 17, 18, 21, 22]",3
534,1573,"[2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23]",4
535,1572,"[2, 4, 5, 6, 8, 9, 10, 13, 16, 18, 19, 21, 22, 23, 24]",1
536,1571,"[1, 3, 4, 5, 6, 7, 11, 12, 14, 17, 18, 19, 23, 24, 25]",1
537,1570,"[1, 3, 7, 8, 9, 11, 13, 16, 18, 19, 20, 21, 23, 24, 25]",2
538,1569,"[2, 4, 8, 9, 10, 12, 13, 14, 16, 18, 20, 21, 23, 24, 25]",3
539,1568,"[1, 2, 3, 4, 6, 7, 10, 11, 13, 16, 17, 19, 21, 22, 24]",7
540,1567,"[2, 3, 5, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 21, 24]",4
541,1566,"[1, 2, 4, 5, 7, 8, 9, 13, 14, 15, 16, 19, 23, 24, 25]",4
542,1565,"[1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 24, 25]",0
543,1564,"[3, 4, 6, 8, 9, 11, 12, 13, 16, 17, 18, 19, 20, 21, 24]",1
544,1563,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 17, 18, 20, 21, 22, 23]",3
545,1562,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18]",9
546,1561,"[3, 5, 6, 7, 8, 12, 13, 15, 16, 18, 20, 21, 22, 24, 25]",4
547,1560,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 14, 17, 18, 20, 24, 25]",3
548,1559,"[3, 4, 5, 6, 7, 9, 10, 11, 14, 16, 18, 19, 20, 23, 25]",1
549,1558,"[1, 2, 4, 5, 6, 9, 11, 14, 15, 16, 17, 18, 21, 22, 25]",1
550,1557,"[2, 3, 4, 5, 6, 9, 12, 16, 17, 18, 20, 21, 22, 24, 25]",15
551,1556,"[1, 2, 3, 5, 6, 8, 12, 15, 16, 17, 19, 21, 22, 23, 25]",2
552,1555,"[1, 2, 6, 8, 9, 10, 12, 13, 14, 16, 18, 20, 22, 23, 25]",6
553,1554,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 16, 18, 19, 24, 25]",1
554,1553,"[1, 2, 4, 8, 9, 11, 12, 13, 15, 17, 18, 19, 21, 22, 25]",10
555,1552,"[2, 3, 7, 8, 9, 12, 14, 15, 16, 19, 20, 21, 22, 24, 25]",6
556,1551,"[1, 3, 5, 7, 8, 11, 13, 14, 15, 17, 19, 20, 22, 23, 25]",13
557,1550,"[3, 4, 5, 7, 8, 13, 14, 15, 16, 17, 20, 22, 23, 24, 25]",1
558,1549,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 18, 20, 23, 24, 25]",5
559,1548,"[2, 3, 4, 9, 10, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23]",3
560,1547,"[1, 2, 5, 6, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 25]",7
561,1546,"[1, 3, 6, 7, 8, 10, 11, 14, 15, 18, 19, 20, 22, 24, 25]",1
562,1545,"[3, 5, 7, 8, 10, 11, 12, 15, 16, 17, 20, 22, 23, 24, 25]",2
563,1544,"[1, 2, 4, 7, 8, 9, 11, 12, 14, 16, 17, 21, 22, 23, 24]",2
564,1543,"[1, 2, 6, 7, 8, 9, 12, 13, 15, 17, 19, 20, 23, 24, 25]",4
565,1542,"[2, 3, 5, 7, 8, 10, 11, 13, 15, 16, 17, 20, 21, 22, 24]",17
566,1541,"[2, 3, 4, 5, 7, 11, 13, 14, 15, 18, 19, 20, 21, 22, 25]",1
567,1540,"[1, 2, 3, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 22, 23]",2
568,1539,"[1, 3, 4, 8, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 25]",2
569,1538,"[2, 4, 5, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 23]",1
570,1537,"[1, 2, 3, 4, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24]",1
571,1536,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 23, 25]",1
572,1535,"[3, 4, 5, 7, 8, 12, 13, 15, 17, 18, 21, 22, 23, 24, 25]",5
573,1534,"[1, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 24]",1
574,1533,"[1, 3, 4, 6, 7, 11, 12, 13, 14, 15, 16, 19, 20, 21, 24]",2
575,1532,"[1, 2, 3, 8, 9, 10, 11, 12, 13, 14, 17, 18, 20, 22, 25]",3
576,1531,"[1, 2, 3, 4, 7, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",1
577,1530,"[2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 18, 20, 22, 23, 24]",41
578,1529,"[2, 3, 4, 5, 8, 11, 13, 14, 16, 17, 18, 19, 20, 21, 24]",3
579,1528,"[1, 2, 4, 5, 6, 8, 9, 10, 17, 18, 20, 21, 23, 24, 25]",0
580,1527,"[1, 2, 3, 5, 6, 7, 9, 10, 14, 15, 20, 21, 22, 24, 25]",1
581,1526,"[5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 20, 21, 22, 23, 25]",7
582,1525,"[1, 2, 4, 5, 8, 10, 12, 14, 15, 18, 19, 20, 21, 22, 25]",3
583,1524,"[1, 3, 5, 6, 7, 8, 9, 10, 13, 14, 20, 22, 23, 24, 25]",1
584,1523,"[3, 5, 6, 7, 9, 10, 12, 13, 14, 16, 18, 19, 21, 23, 25]",8
585,1522,"[1, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24]",2
586,1521,"[1, 2, 3, 4, 5, 7, 8, 12, 14, 15, 17, 19, 20, 23, 24]",4
587,1520,"[1, 2, 4, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 24, 25]",6
588,1519,"[1, 4, 6, 8, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25]",4
589,1518,"[2, 3, 4, 5, 7, 8, 11, 12, 14, 16, 17, 20, 22, 24, 25]",4
590,1517,"[2, 3, 5, 8, 10, 11, 12, 14, 15, 18, 20, 21, 23, 24, 25]",4
591,1516,"[1, 2, 6, 7, 10, 11, 12, 14, 16, 18, 19, 20, 22, 23, 24]",3
592,1515,"[1, 2, 3, 5, 8, 9, 11, 12, 13, 16, 17, 18, 19, 20, 23]",5
593,1514,"[3, 4, 5, 7, 8, 11, 12, 13, 15, 16, 17, 19, 20, 21, 24]",2
594,1513,"[3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 21, 22, 24]",1
595,1512,"[2, 3, 4, 6, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22, 24]",1
596,1511,"[2, 3, 4, 6, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22, 24]",1
597,1510,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 15, 19, 20, 21, 23, 24]",5
598,1509,"[1, 2, 3, 6, 7, 8, 9, 13, 14, 15, 17, 18, 19, 22, 24]",5
599,1508,"[1, 3, 7, 8, 9, 10, 11, 12, 14, 17, 19, 21, 22, 23, 24]",2
600,1507,"[1, 2, 3, 4, 5, 8, 10, 11, 13, 14, 17, 19, 21, 23, 24]",6
601,1506,"[3, 4, 5, 8, 9, 10, 13, 14, 17, 18, 19, 20, 21, 22, 24]",2
602,1505,"[3, 4, 5, 8, 9, 10, 13, 14, 17, 18, 19, 20, 21, 22, 24]",2
603,1504,"[1, 2, 3, 6, 7, 11, 14, 16, 17, 18, 19, 20, 22, 24, 25]",1
604,1503,"[1, 2, 3, 7, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25]",0
605,1502,"[1, 2, 3, 4, 5, 7, 11, 12, 13, 15, 17, 18, 20, 22, 24]",0
606,1501,"[1, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18, 21, 22, 24, 25]",2
607,1500,"[1, 2, 3, 5, 7, 10, 11, 12, 13, 15, 17, 18, 19, 20, 22]",3
608,1499,"[1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 15, 18, 19, 23, 24]",2
609,1498,"[4, 5, 7, 8, 10, 11, 14, 15, 16, 17, 18, 21, 23, 24, 25]",1
610,1497,"[1, 2, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23]",1
611,1496,"[2, 3, 6, 7, 9, 10, 11, 12, 13, 15, 17, 19, 20, 23, 25]",1
612,1495,"[1, 2, 3, 4, 5, 8, 10, 12, 13, 14, 18, 22, 23, 24, 25]",3
613,1494,"[1, 2, 3, 4, 9, 10, 11, 12, 13, 15, 17, 19, 20, 22, 25]",3
614,1493,"[2, 5, 8, 10, 11, 13, 14, 15, 16, 19, 20, 21, 23, 24, 25]",9
615,1492,"[2, 3, 4, 5, 7, 8, 10, 12, 15, 16, 17, 18, 19, 24, 25]",2
616,1491,"[2, 4, 5, 6, 7, 9, 11, 13, 14, 19, 20, 22, 23, 24, 25]",1
617,1490,"[1, 3, 4, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 22]",2
618,1489,"[2, 4, 7, 8, 9, 10, 12, 13, 14, 15, 19, 20, 22, 23, 25]",3
619,1488,"[1, 4, 5, 6, 10, 11, 12, 13, 16, 19, 20, 21, 23, 24, 25]",4
620,1487,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 15, 16, 19, 21, 22, 25]",3
621,1486,"[2, 4, 5, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 23, 25]",1
622,1485,"[1, 2, 3, 5, 8, 9, 11, 13, 15, 17, 18, 19, 23, 24, 25]",4
623,1484,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 17, 18, 19, 21, 22, 25]",2
624,1483,"[3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 17, 20, 21, 22, 23]",2
625,1482,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 19, 23, 24]",2
626,1481,"[2, 3, 5, 7, 8, 9, 11, 17, 18, 19, 20, 21, 23, 24, 25]",3
627,1480,"[1, 6, 7, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 25]",0
628,1479,"[2, 3, 5, 6, 9, 11, 13, 14, 15, 16, 17, 18, 20, 22, 23]",2
629,1478,"[2, 5, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 21, 24, 25]",3
630,1477,"[1, 2, 3, 4, 5, 6, 7, 10, 12, 15, 17, 18, 21, 22, 23]",3
631,1476,"[2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 21, 22, 25]",4
632,1475,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 15, 18, 20, 21, 24, 25]",5
633,1474,"[1, 2, 5, 7, 8, 10, 11, 13, 14, 15, 18, 19, 20, 21, 25]",5
634,1473,"[1, 4, 5, 7, 8, 9, 10, 12, 14, 16, 20, 22, 23, 24, 25]",1
635,1472,"[2, 3, 4, 5, 7, 8, 10, 12, 13, 14, 18, 21, 22, 23, 24]",2
636,1471,"[1, 2, 4, 6, 7, 8, 10, 11, 13, 15, 18, 20, 21, 22, 24]",2
637,1470,"[2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 24]",2
638,1469,"[1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",2
639,1468,"[2, 3, 5, 6, 8, 11, 12, 13, 14, 18, 19, 20, 21, 23, 24]",4
640,1467,"[1, 4, 5, 6, 9, 10, 11, 12, 19, 20, 21, 22, 23, 24, 25]",8
641,1466,"[2, 3, 4, 6, 10, 11, 12, 14, 19, 20, 21, 22, 23, 24, 25]",1
642,1465,"[2, 5, 7, 8, 9, 10, 12, 14, 16, 19, 20, 21, 22, 23, 24]",2
643,1464,"[1, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23, 24]",1
644,1463,"[3, 4, 6, 7, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 24]",8
645,1462,"[1, 3, 4, 5, 7, 9, 12, 13, 14, 16, 17, 20, 21, 24, 25]",7
646,1461,"[2, 4, 5, 6, 9, 10, 11, 15, 17, 18, 19, 21, 23, 24, 25]",3
647,1460,"[1, 3, 5, 7, 11, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25]",1
648,1459,"[1, 4, 6, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 24, 25]",2
649,1458,"[1, 2, 3, 5, 7, 9, 11, 14, 17, 18, 19, 20, 22, 23, 24]",5
650,1457,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 18, 23, 24]",1
651,1456,"[1, 2, 6, 7, 8, 9, 12, 13, 14, 15, 19, 20, 21, 24, 25]",2
652,1455,"[2, 5, 7, 8, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25]",4
653,1454,"[1, 3, 4, 7, 10, 12, 13, 14, 18, 19, 20, 21, 22, 23, 25]",1
654,1453,"[1, 2, 5, 8, 9, 10, 13, 14, 15, 16, 19, 21, 23, 24, 25]",5
655,1452,"[2, 5, 7, 8, 10, 11, 13, 14, 15, 17, 20, 21, 23, 24, 25]",8
656,1451,"[1, 2, 3, 5, 10, 12, 13, 14, 15, 19, 20, 21, 23, 24, 25]",2
657,1450,"[1, 2, 4, 5, 8, 9, 10, 13, 14, 16, 17, 19, 20, 22, 24]",1
658,1449,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 15, 16, 20, 22, 23, 24]",4
659,1448,"[1, 3, 4, 5, 6, 8, 12, 13, 16, 18, 19, 21, 22, 23, 24]",2
660,1447,"[1, 3, 4, 5, 8, 11, 12, 13, 17, 18, 19, 21, 22, 24, 25]",5
661,1446,"[1, 4, 6, 7, 8, 12, 13, 16, 17, 20, 21, 22, 23, 24, 25]",0
662,1445,"[1, 4, 5, 6, 8, 10, 13, 15, 16, 17, 18, 20, 22, 23, 25]",3
663,1444,"[1, 2, 4, 5, 6, 9, 10, 11, 14, 15, 17, 18, 20, 21, 24]",3
664,1443,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 24]",2
665,1442,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21]",2
666,1441,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 16, 19, 22, 23, 25]",2
667,1440,"[2, 3, 8, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25]",1
668,1439,"[1, 2, 3, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24]",5
669,1438,"[1, 4, 7, 8, 9, 10, 11, 12, 14, 15, 17, 20, 21, 22, 24]",0
670,1437,"[2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 17, 19, 20, 23, 25]",3
671,1436,"[1, 2, 3, 5, 6, 8, 11, 12, 15, 17, 18, 19, 22, 23, 24]",1
672,1435,"[1, 2, 3, 4, 5, 6, 9, 10, 12, 16, 17, 19, 20, 21, 23]",0
673,1434,"[3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 18, 19, 22, 23, 24]",4
674,1433,"[3, 6, 7, 9, 10, 12, 14, 15, 16, 18, 20, 22, 23, 24, 25]",3
675,1432,"[1, 3, 4, 5, 10, 11, 12, 16, 17, 18, 20, 21, 23, 24, 25]",5
676,1431,"[1, 2, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 23, 25]",1
677,1430,"[1, 3, 4, 5, 7, 8, 9, 13, 15, 16, 20, 21, 22, 23, 25]",2
678,1429,"[5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 25]",3
679,1428,"[2, 3, 4, 5, 6, 8, 9, 13, 17, 18, 19, 20, 21, 22, 25]",0
680,1427,"[1, 2, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 25]",2
681,1426,"[2, 3, 4, 7, 8, 10, 12, 14, 15, 16, 18, 22, 23, 24, 25]",11
682,1425,"[1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 16, 19, 20, 21, 25]",0
683,1424,"[2, 4, 5, 6, 8, 9, 10, 11, 13, 17, 18, 20, 21, 23, 25]",8
684,1423,"[1, 2, 4, 5, 7, 8, 11, 12, 13, 14, 15, 16, 19, 22, 23]",1
685,1422,"[1, 4, 5, 7, 10, 11, 13, 14, 15, 16, 17, 19, 22, 23, 24]",3
686,1421,"[3, 5, 6, 7, 8, 9, 11, 12, 14, 17, 18, 19, 20, 23, 24]",5
687,1420,"[1, 4, 6, 7, 8, 10, 13, 14, 15, 16, 17, 20, 22, 23, 25]",3
688,1419,"[2, 3, 6, 7, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24]",4
689,1418,"[2, 4, 6, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23]",4
690,1417,"[1, 2, 3, 4, 6, 7, 9, 11, 13, 14, 15, 18, 19, 22, 23]",4
691,1416,"[3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19, 20, 24]",1
692,1415,"[2, 4, 5, 6, 10, 12, 13, 15, 17, 18, 19, 22, 23, 24, 25]",5
693,1414,"[2, 3, 4, 5, 7, 9, 10, 11, 13, 14, 16, 17, 20, 21, 23]",4
694,1413,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 16, 17, 18, 21, 25]",3
695,1412,"[5, 6, 7, 9, 11, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25]",5
696,1411,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 21, 23]",2
697,1410,"[2, 3, 4, 5, 6, 7, 9, 10, 14, 15, 16, 17, 20, 21, 23]",1
698,1409,"[1, 2, 4, 6, 7, 8, 11, 12, 14, 16, 17, 19, 22, 24, 25]",10
699,1408,"[1, 3, 5, 8, 10, 11, 12, 13, 14, 19, 21, 22, 23, 24, 25]",10
700,1407,"[1, 2, 4, 5, 6, 7, 10, 12, 13, 20, 21, 22, 23, 24, 25]",0
701,1406,"[2, 3, 4, 5, 6, 9, 11, 13, 15, 19, 20, 21, 22, 24, 25]",3
702,1405,"[2, 3, 4, 7, 9, 10, 11, 14, 15, 16, 18, 19, 20, 23, 24]",4
703,1404,"[1, 2, 3, 4, 8, 10, 11, 13, 15, 16, 18, 19, 21, 22, 25]",0
704,1403,"[3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 17, 21, 23, 25]",1
705,1402,"[2, 3, 4, 5, 8, 9, 11, 12, 14, 15, 16, 19, 20, 21, 23]",1
706,1401,"[1, 3, 4, 5, 6, 7, 8, 14, 15, 18, 19, 21, 22, 24, 25]",4
707,1400,"[1, 2, 3, 5, 6, 9, 10, 12, 16, 19, 21, 22, 23, 24, 25]",4
708,1399,"[4, 5, 6, 8, 9, 12, 13, 14, 15, 17, 19, 21, 22, 24, 25]",2
709,1398,"[1, 4, 5, 6, 7, 8, 11, 14, 15, 16, 19, 20, 21, 24, 25]",5
710,1397,"[1, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 18, 21, 22, 25]",1
711,1396,"[3, 5, 6, 7, 10, 12, 13, 17, 18, 19, 20, 22, 23, 24, 25]",5
712,1395,"[5, 6, 7, 8, 11, 12, 13, 14, 16, 17, 18, 19, 22, 23, 25]",2
713,1394,"[3, 4, 5, 6, 9, 10, 11, 14, 15, 16, 18, 19, 21, 22, 23]",4
714,1393,"[3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 17, 18, 20, 22, 23]",7
715,1392,"[1, 2, 3, 4, 8, 9, 14, 15, 16, 17, 18, 20, 21, 22, 25]",1
716,1391,"[1, 3, 5, 6, 10, 11, 12, 15, 16, 17, 19, 20, 21, 24, 25]",4
717,1390,"[1, 3, 5, 6, 10, 11, 12, 15, 16, 17, 19, 20, 21, 24, 25]",4
718,1389,"[3, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 20, 21, 23]",2
719,1388,"[1, 3, 5, 7, 8, 10, 11, 12, 15, 18, 19, 20, 21, 23, 25]",13
720,1387,"[1, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 24]",2
721,1386,"[1, 2, 3, 4, 7, 9, 13, 16, 17, 18, 19, 21, 22, 24, 25]",4
722,1385,"[4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 23]",2
723,1384,"[3, 4, 6, 8, 9, 11, 12, 13, 15, 18, 19, 20, 22, 24, 25]",2
724,1383,"[2, 6, 7, 8, 9, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25]",2
725,1382,"[1, 6, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]",3
726,1381,"[1, 4, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 25]",0
727,1380,"[3, 4, 5, 6, 8, 11, 12, 14, 15, 16, 17, 21, 22, 24, 25]",0
728,1379,"[1, 2, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 18, 21, 22]",1
729,1378,"[1, 2, 3, 6, 8, 10, 12, 13, 17, 19, 20, 21, 23, 24, 25]",2
730,1377,"[1, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 20, 21, 22, 25]",4
731,1376,"[1, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 20, 21, 22, 25]",4
732,1375,"[1, 3, 4, 5, 6, 12, 13, 14, 15, 16, 18, 19, 20, 22, 24]",1
733,1374,"[2, 3, 4, 5, 6, 9, 10, 14, 15, 16, 19, 20, 21, 23, 25]",4
734,1373,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 20, 21, 23, 24]",1
735,1372,"[1, 2, 3, 5, 7, 9, 10, 13, 15, 16, 17, 18, 21, 23, 25]",8
736,1371,"[3, 4, 5, 7, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25]",1
737,1370,"[2, 4, 5, 7, 8, 11, 13, 14, 17, 18, 20, 21, 22, 24, 25]",10
738,1369,"[3, 4, 5, 9, 10, 11, 12, 13, 14, 16, 17, 18, 21, 22, 24]",2
739,1368,"[5, 7, 8, 10, 11, 12, 14, 16, 18, 19, 20, 22, 23, 24, 25]",6
740,1367,"[2, 3, 4, 5, 6, 7, 9, 14, 15, 16, 17, 18, 20, 23, 24]",0
741,1366,"[4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 24, 25]",2
742,1365,"[2, 3, 6, 9, 10, 12, 14, 15, 19, 20, 21, 22, 23, 24, 25]",1
743,1364,"[1, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 22, 24, 25]",3
744,1363,"[5, 7, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",3
745,1362,"[1, 3, 4, 6, 9, 10, 11, 12, 13, 16, 21, 22, 23, 24, 25]",2
746,1361,"[1, 4, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25]",5
747,1360,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 18, 20, 23, 24]",2
748,1359,"[3, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20, 21, 23]",11
749,1358,"[1, 2, 3, 4, 6, 8, 9, 13, 15, 17, 18, 19, 20, 22, 23]",0
750,1357,"[3, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23]",4
751,1356,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]",2
752,1355,"[1, 2, 3, 4, 6, 7, 8, 11, 15, 16, 18, 20, 21, 22, 24]",0
753,1354,"[1, 2, 3, 5, 7, 9, 11, 12, 13, 14, 15, 18, 20, 21, 24]",1
754,1353,"[3, 5, 7, 8, 9, 10, 11, 12, 14, 18, 21, 22, 23, 24, 25]",1
755,1352,"[6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 23, 24, 25]",2
756,1351,"[2, 4, 6, 7, 10, 11, 13, 17, 19, 20, 21, 22, 23, 24, 25]",3
757,1350,"[1, 5, 6, 8, 9, 11, 12, 13, 14, 16, 18, 19, 20, 21, 23]",1
758,1349,"[2, 3, 4, 5, 6, 7, 8, 12, 14, 16, 18, 19, 21, 24, 25]",3
759,1348,"[1, 2, 6, 7, 8, 9, 10, 14, 15, 18, 20, 21, 22, 24, 25]",2
760,1347,"[1, 3, 5, 6, 7, 8, 10, 12, 13, 14, 17, 18, 20, 23, 24]",2
761,1346,"[2, 3, 5, 7, 8, 10, 11, 14, 15, 18, 19, 20, 21, 23, 25]",8
762,1345,"[1, 3, 7, 8, 9, 10, 11, 14, 15, 17, 19, 21, 22, 24, 25]",2
763,1344,"[2, 4, 6, 7, 8, 10, 11, 12, 13, 17, 18, 21, 23, 24, 25]",4
764,1343,"[2, 4, 5, 9, 10, 11, 13, 14, 15, 16, 17, 19, 21, 23, 24]",2
765,1342,"[1, 2, 3, 5, 9, 10, 11, 12, 13, 15, 20, 21, 23, 24, 25]",1
766,1341,"[1, 3, 4, 8, 9, 10, 13, 14, 15, 16, 17, 20, 21, 23, 24]",2
767,1340,"[1, 2, 4, 5, 7, 9, 10, 12, 13, 14, 16, 17, 18, 19, 22]",3
768,1339,"[2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 23, 24]",0
769,1338,"[1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 19]",2
770,1337,"[1, 3, 5, 6, 8, 9, 10, 12, 13, 15, 16, 19, 21, 23, 25]",22
771,1336,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 24]",1
772,1335,"[1, 3, 4, 6, 7, 9, 10, 11, 13, 16, 17, 18, 23, 24, 25]",10
773,1334,"[3, 4, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21, 22]",1
